学校名,学年,出願期間,試験日,試験実施期間,発表日,入試科目,面接,募集人員,URL,ページタイトル,所在地,連絡先,詳細,入試科目等,出願期間等
福岡女学院高等学校,新2年,3/3～3/10,3/21,,3/21,英作,受・保別々,若干名,https://www.jolnet.com/transfer/10281/,2025年3月実施　高校転・編入試験要項　福岡女学院高等学校,福岡県福岡市,092-575-2470,ホームページ・詳細はこちら,,
武庫川女子大学附属中学校,新2年,2/26～3/7,3/13,,3/14,英・数・国,受・保,若干名,https://www.jolnet.com/transfer/10561/,2025年3月実施　中学転・編入試験要項　武庫川女子大学附属中学校,兵庫県西宮市,0798-47-6436,ホームページ・詳細はこちら,,
兵庫県立芦屋国際中等教育学校,"4,5年",～7/18,7/25,,7/25,英・数・国・作,受のみ,4年：3名　5年：7名,https://www.jolnet.com/transfer/7341/,2024年7月実施　中学転・編入試験要項　兵庫県立芦屋国際中等教育学校,兵庫県芦屋市,0797-38-2293,ホームページ・詳細はこちら,,
甲南高等学校,1年,7/16～7/19　※ 要事前相談,7/27,,7/27,英・数・国,受のみ,若干名,https://www.jolnet.com/transfer/7461/,2024年7月実施　高校転・編入試験要項　甲南高等学校,兵庫県芦屋市,0797-31-0551,ホームページ・詳細はこちら,,
自由学園中等部,"新2,3年",2/1～2/7,2/10,,2/11,英・数・国・集団考査,受・保別々,若干名,https://www.jolnet.com/transfer/10057/,2025年2月実施　中学転・編入試験要項　自由学園中等部,東京都東久留米市,042-422-3111,ホームページ・詳細はこちら,,
セントヨゼフ女子学園中学校,"1,2,3年",6/17～6/21,7/3,,郵送,英・数・国,受・保,若干名,https://www.jolnet.com/transfer/7254/,2024年7月実施　中学転・編入試験要項　セントヨゼフ女子学園中学校,三重県津市,059-227-6465,ホームページ・詳細はこちら,,
小林聖心女子学院高等学校,新1年,12/2～12/13　※ 要事前相談,1/7,,1/7,英・数・国,受・保,若干名,https://www.jolnet.com/transfer/9713/,2025年1月実施　高校転・編入試験要項　小林聖心女子学院高等学校,兵庫県宝塚市,0797-71-7321,ホームページ・詳細はこちら,,
聖心女子学院中等科,"1,2,3年",6/3～6/28,7/6,,7/6,英・数・国,受・保,若干名,https://www.jolnet.com/transfer/6836/,2024年7月実施　中学転・編入試験要項　聖心女子学院中等科,東京都港区,03-3444-7671,ホームページ・詳細はこちら,,
光英VERITAS高等学校,"1,2年",～6/28,7/6,,7/6,英・数・国,受・保別々,若干名,https://www.jolnet.com/transfer/7645/,2024年7月実施　高校転・編入試験要項　光英VERITAS高等学校,千葉県松戸市,047-392-8111,ホームページ・詳細はこちら,,
かえつ有明高等学校,"1,2年",11/26～11/29,12/3,,12/3,Regular選考：英・数・国,,若干名,https://www.jolnet.com/transfer/9638/,2024年12月実施　高校転・編入試験要項　かえつ有明高等学校,東京都江東区,03-5564-2111,ホームページ・詳細はこちら,,
札幌光星高等学校,"新2,3年",2/25～3/6,3/21,,3/21,英・数・国,受・保,若干名,https://www.jolnet.com/transfer/10242/,2025年3月実施　高校転・編入試験要項　札幌光星高等学校,北海道札幌市,011-711-7161,ホームページ・詳細はこちら,,
自由学園中等部,"新2,3年",11/17～11/24,11/30,,12/1,英・数・国・集団考査,受・保別々,若干名,https://www.jolnet.com/transfer/9427/,2024年12月実施　中学転・編入試験要項　自由学園中等部,東京都東久留米市,042-422-3111,ホームページ・詳細はこちら,,
広尾学園中学校,"1,2,3年",7/5～7/12,7/19,,7/20,英・数・国※ インターナショナルAGコースの英・数は英語表記,受のみ※ インターナショナルAGコースの面は日・英,若干名,https://www.jolnet.com/transfer/7270/,2024年7月実施　中学転・編入試験要項　広尾学園中学校,東京都港区,03-3444-7271,ホームページ・詳細はこちら,,
自由の森学園中学校,2年,7/9～7/23,7/29,,7/29,英・数・国,受のみ,若干名,https://www.jolnet.com/transfer/7610/,2024年7月実施　中学転・編入試験要項　自由の森学園中学校,埼玉県飯能市,042-972-3131,ホームページ・詳細はこちら,,
プール学院高等学校,"1,2年",～11/30,12/7,,12/9,英・数・国,受のみ,若干名,https://www.jolnet.com/transfer/9964/,2024年12月実施　高校転・編入試験要項　プール学院高等学校,大阪府大阪市,06-6741-7005,ホームページ・詳細はこちら,,
東京成徳大学中学校,"1,2,3年",12/2～12/17,12/21,,12/21,英・数・国,受・保,若干名,https://www.jolnet.com/transfer/9709/,2024年12月実施　中学転・編入試験要項　東京成徳大学中学校,東京都北区,03-3911-7109,ホームページ・詳細はこちら,,
大妻中野高等学校,"1,2年",9/28～10/7,10/19　※ シンガポール会場,,10/25,英・数・国,受・保,若干名,https://www.jolnet.com/transfer/8437/,2024年10月実施　高校転・編入試験要項　大妻中野高等学校,東京都中野区,03-3389-7211,ホームページ・詳細はこちら,,
桐光学園高等学校,"1,2年",11/27～12/3,12/7,,12/7,英・数・国,受・保別々,若干名,https://www.jolnet.com/transfer/9644/,2024年12月実施　高校転・編入試験要項　桐光学園高等学校,神奈川県川崎市,044-987-0519,ホームページ・詳細はこちら,,
大阪女学院高等学校,"1,2年",※ 要事前相談,7月,,,英・数・国,,若干名,https://www.jolnet.com/transfer/7510/,2024年7月実施　高校転・編入試験要項　大阪女学院高等学校,大阪府大阪市,06-6761-4113,ホームページ・詳細はこちら,,
カリタス女子中学校,"新2,3年",2/10～2/25,3/4,,3/4,英・数・国 or 仏・数・国,受・保,若干名,https://www.jolnet.com/transfer/10077/,2025年3月実施　中学転・編入試験要項　カリタス女子中学校,神奈川県川崎市,044-911-4656,ホームページ・詳細はこちら,,
法政大学国際高等学校,新2年,2/25～3/5,3/8,,3/11,英・数・国,受のみ,若干名,https://www.jolnet.com/transfer/10557/,2025年3月実施　高校転・編入試験要項　法政大学国際高等学校,神奈川県横浜市,045-571-4482,ホームページ・詳細はこちら,,
広尾学園高等学校,"1,2,3年",7/5～7/12,7/19,,7/20,英・数・国※ インターナショナルコースの英・数は英語表記,受のみ※ インターナショナルコースの面は日・英,若干名,https://www.jolnet.com/transfer/7272/,2024年7月実施　高校転・編入試験要項　広尾学園高等学校,東京都港区,03-3444-7271,ホームページ・詳細はこちら,,
自由の森学園高等学校,"1,2年",7/9～7/23,7/29,,7/29,英・数・国,受のみ,若干名,https://www.jolnet.com/transfer/7612/,2024年7月実施　高校転・編入試験要項　自由の森学園高等学校,埼玉県飯能市,042-972-3131,ホームページ・詳細はこちら,,
目白研心高等学校,新3年,2/22～2/26,3/3,,3/3,英・国,受・保,Super English Course 若干名　※ 英検準2級以上の取得者,https://www.jolnet.com/transfer/10218/,2025年3月実施　高校転・編入試験要項　目白研心高等学校,東京都新宿区,03-5996-3133,ホームページ・詳細はこちら,,
英数学館高等学校,"1,2年",11/18～11/22,12/2,,12/6,英・数・国※ IBクラスの英・数は英語で出題,受・保別々,若干名,https://www.jolnet.com/transfer/9435/,2024年12月実施　高校転・編入試験要項　英数学館高等学校,広島県福山市,084-941-4115,ホームページ・詳細はこちら,,
梅花高等学校,"1,2年",～12/12　※ 要事前相談,12/18,,12/19,英・数・国・作（日 or 英）,受・保別々,若干名,https://www.jolnet.com/transfer/8997/,2024年12月実施　高校転・編入試験要項　梅花高等学校,大阪府豊中市,06-6852-0001,ホームページ・詳細はこちら,,
富士見丘中学校,"1,2,3年",9/16～10/18,11/9,,11/20,A方式：英エッセイ・作B方式：英・数・国から2科目,受・保,若干名,https://www.jolnet.com/transfer/8340/,2024年11月実施　中学転・編入試験要項　富士見丘中学校,,,,,
東洋大学附属姫路高等学校,"1,2,3年",～7/17,7/22,,7/22,英・数・国,受・保,欠員分,https://www.jolnet.com/transfer/7808/,2024年7月実施　高校転・編入試験要項　東洋大学附属姫路高等学校,兵庫県姫路市,079-266-2626,ホームページ・詳細はこちら,,
如水館中学校,"新2,3年",3/3～3/12　※ 要事前連絡,3/18,,試験後3日以内,英・数・国,受・保,若干名,https://www.jolnet.com/transfer/10275/,2025年3月実施　中学転・編入試験要項　如水館中学校,広島県三原市,0848-63-2423,ホームページ・詳細はこちら,,
カリタス女子中学校,"1,2,3年",6/10～6/24,7/4,,7/4,英・数・国 or 仏・数・国,受・保,若干名,https://www.jolnet.com/transfer/6911/,2024年7月実施　中学転・編入試験要項　カリタス女子中学校,神奈川県川崎市,044-911-4656,ホームページ・詳細はこちら,,
梅花中学校,"1,2年",～12/12　※ 要事前相談,12/18,,12/19,英・数・国・作（日 or 英）,受・保別々,若干名,https://www.jolnet.com/transfer/8995/,2024年12月実施　中学転・編入試験要項　梅花中学校,大阪府豊中市,06-6852-0001,ホームページ・詳細はこちら,,
頌栄女子学院中学校,1年,6/10～6/25,7/5,,,,,若干名,https://www.jolnet.com/transfer/7111/,2024年7月実施　中学転・編入試験要項　頌栄女子学院中学校,東京都港区,03-3441-2005,ホームページ・詳細はこちら,要問い合わせ,
大妻多摩中学校,"1,2年",6/14～6/28,7/19　※ OLも可,,7/19,英・数・国,受のみ,若干名,https://www.jolnet.com/transfer/7037/,2024年7月実施　中学転・編入試験要項　大妻多摩中学校,千葉県習志野市,047-472-8192,ホームページ・詳細はこちら,,
桜美林高等学校,1年,11/25～12/7　※ 要事前相談,12/18,,12/18,英・数・国,受のみ,若干名,https://www.jolnet.com/transfer/9589/,2024年12月実施　高校転・編入試験要項　桜美林高等学校,東京都町田市,042-797-2667,ホームページ・詳細はこちら,,
東北学院中学校,"新2,3年",2/25～3/4,3/10,,3/11,英・数・国,受・保,若干名,https://www.jolnet.com/transfer/10445/,2025年3月実施　中学転・編入試験要項　東北学院中学校,宮城県仙台市,022-786-1231,ホームページ・詳細はこちら,,
兵庫県立芦屋国際中等教育学校,4年,～1/16,1/23,,1/23,英・数・国・作,受のみ,欠員分,https://www.jolnet.com/transfer/9870/,2025年1月実施　中学転・編入試験要項　兵庫県立芦屋国際中等教育学校,兵庫県芦屋市,0797-38-2293,ホームページ・詳細はこちら,,
恵泉女学園高等学校,1年,6/17～6/21,7/3,,7/4,英・数・国,受・保,若干名,https://www.jolnet.com/transfer/7043/,2024年7月実施　高校転・編入試験要項　恵泉女学園高等学校,東京都世田谷区,03-3303-2115,ホームページ・詳細はこちら,,
清泉女学院高等学校,新1年,～3/7,3/12,,3/12,英・数・国,受・保別々,若干名,https://www.jolnet.com/transfer/10695/,2025年3月実施　高校転・編入試験要項　清泉女学院高等学校,神奈川県鎌倉市,0467-46-3171,ホームページ・詳細はこちら,,
名古屋国際中学校,"1,2,3年",～9/30,10/5,,10/25,英・数・国　※ オンライン実施,受・保,各学年5名,https://www.jolnet.com/transfer/8628/,2024年10月実施　中学転・編入試験要項　名古屋国際中学校,愛知県名古屋市,052-858-2200,ホームページ・詳細はこちら,,
鎌倉学園高等学校,新2年,2/26～3/4,3/12,,3/12,英・数・国,受のみ,若干名,https://www.jolnet.com/transfer/10559/,2025年3月実施　高校転・編入試験要項　鎌倉学園高等学校,神奈川県鎌倉市,0467-22-0994,ホームページ・詳細はこちら,,
恵泉女学園中学校,"2,3年",11/25～11/29,12/10,,12/12,英・数・国,受・保,若干名,https://www.jolnet.com/transfer/9591/,2024年12月実施　中学転・編入試験要項　恵泉女学園中学校,東京都世田谷区,03-3303-2115,ホームページ・詳細はこちら,,
富士見中学校,"2,3年",6/17～6/29,7/6,,7/6,英・数・国,受・保,若干名,https://www.jolnet.com/transfer/7116/,2024年7月実施　中学転・編入試験要項　富士見中学校,東京都練馬区,03-3999-2136,ホームページ・詳細はこちら,,
京華中学校,"新2,3年",2/26～3/2　※ 要事前相談,3/5,,3/5,英・数・国,受・保別々,若干名,https://www.jolnet.com/transfer/5730/,2024年3月実施　中学転・編入試験要項　京華中学校,東京都文京区,03-3946-4451,ホームページ・詳細はこちら,,
東京学芸大学附属国際中等教育学校,新2～6年,12/23～1/8,2/3,,2/7,作（外国語・日）,受のみグループ,若干名,https://www.jolnet.com/transfer/9772/,2025年2月実施　中学転・編入試験要項　東京学芸大学附属国際中等教育学校,東京都練馬区,03-5905-1326,ホームページ・詳細はこちら,,
恵泉女学園中学校,"2,3年",6/17～6/21,7/3,,7/4,英・数・国,受・保,若干名,https://www.jolnet.com/transfer/7041/,2024年7月実施　中学転・編入試験要項　恵泉女学園中学校,東京都世田谷区,03-3303-2115,ホームページ・詳細はこちら,,
桐光学園中学校,"新2,3年",2/25～3/1,3/6,,3/6,英・数・国,受・保別々,若干名,https://www.jolnet.com/transfer/10248/,2025年3月実施　中学転・編入試験要項　桐光学園中学校,神奈川県川崎市,044-987-0519,ホームページ・詳細はこちら,,
桐朋女子中学校,"1,2,3年",11/15～11/22,12/1,,12/1,A：作（英 or 仏 or 独）B：英・数・国,受のみ,各学年5名,https://www.jolnet.com/transfer/9303/,2024年12月実施　中学転・編入試験要項　桐朋女子中学校,東京都調布市,03-3300-2232,ホームページ・詳細はこちら,,
昌平高等学校,"新2,3年",11/1～11/7,11/16,,11/20,英・数・国IB：英・数・作,受のみ　※ ニューヨーク会場の面は11/10にオンラインにて,若干名,https://www.jolnet.com/transfer/8636/,2024年11月実施　高校転・編入試験要項　昌平高等学校,埼玉県北葛飾郡,0480-34-3381,ホームページ・詳細はこちら,,
東北学院中学校,"1,2,3年",6/24～7/2,7/8,,7/9,英・数・国,受・保,若干名,https://www.jolnet.com/transfer/7187/,2024年7月実施　中学転・編入試験要項　東北学院中学校,宮城県仙台市,022-786-1231,ホームページ・詳細はこちら,,
大妻多摩中学校,"新2,3年",2/13～2/26,3/8　※ OLも可,,3/8,英・数・国,受のみ,若干名,https://www.jolnet.com/transfer/10118/,2025年3月実施　中学転・編入試験要項　大妻多摩中学校,東京都町田市,042-797-2668,ホームページ・詳細はこちら,,
鎌倉学園高等学校,2年,11/26～12/2,12/9,,12/9,英・数・国,受のみ,若干名,https://www.jolnet.com/transfer/9862/,2024年12月実施　高校転・編入試験要項　鎌倉学園高等学校,神奈川県鎌倉市,0467-22-0994,ホームページ・詳細はこちら,,
京華中学校,"新2,3年",2/24～3/1　※ 要事前相談,3/5,,3/5,英・数・国,受・保別々,若干名,https://www.jolnet.com/transfer/10412/,2025年3月実施　中学転・編入試験要項　京華中学校,東京都文京区,03-3946-4451,ホームページ・詳細はこちら,,
城西大学附属城西中学校,1年,11/19～12/3　※ 要事前相談,12/5,,12/6,英・数・国,受のみ,若干名,https://www.jolnet.com/transfer/9437/,2024年12月実施　中学転・編入試験要項　城西大学附属城西中学校,東京都豊島区,03-3973-6331,ホームページ・詳細はこちら,,
愛知淑徳中学校,"2,3年",～11/29　※ 要事前相談,12/20,,12/20,英・数・国,受のみ,欠員分,https://www.jolnet.com/transfer/8993/,2024年12月実施　中学転・編入試験要項　愛知淑徳中学校,愛知県名古屋市,052-781-1151,ホームページ・詳細はこちら,,
如水館高等学校,"新2,3年",3/3～3/12　※ 要事前連絡,3/18,,試験後3日以内,英・数・国,受・保,若干名,https://www.jolnet.com/transfer/10277/,2025年3月実施　高校転・編入試験要項　如水館高等学校,広島県三原市,0848-63-2423,ホームページ・詳細はこちら,,
梅花中学校,"新2,3年",～3/12　※ 要事前相談,3/17,,3/18,英・数・国・作（日 or 英）,受・保別々,若干名,https://www.jolnet.com/transfer/10853/,2025年3月実施　中学転・編入試験要項　梅花中学校,大阪府豊中市,06-6852-0002,ホームページ・詳細はこちら,,
富士見丘中学校,"新2,3年",2/14～2/26,3/3,,3/3,A方式：英エッセイ・作B方式：英・数・国,受・保,若干名,https://www.jolnet.com/transfer/10155/,2025年3月実施　中学転・編入試験要項　富士見丘中学校,東京都渋谷区,03-3376-1481,ホームページ・詳細はこちら,,
東邦大学付属東邦高等学校,1年,6/3～6/8,7/5,,7/5,英・数・国,受のみ,若干名,https://www.jolnet.com/transfer/7035/,2024年7月実施　高校転・編入試験要項　東邦大学付属東邦高等学校,千葉県習志野市,047-472-8192,ホームページ・詳細はこちら,,
逗子開成中学校,"1,2,3年",9/3～9/10,9/19,,9/19,英・数・国,受・保,若干名,https://www.jolnet.com/transfer/7773/,2024年9月実施　中学転・編入試験要項　逗子開成中学校,神奈川県逗子市,046-871-2062,ホームページ・詳細はこちら,,
渋谷教育学園幕張高等学校,"1,2年",6/10～6/18,7/10,,7/10,英・数・国,受のみ,若干名,https://www.jolnet.com/transfer/6842/,2024年7月実施　高校転・編入試験要項　渋谷教育学園幕張高等学校,千葉県千葉市,043-271-1221,ホームページ・詳細はこちら,,
昌平中学校,"新2,3年",11/1～11/7,11/16,,11/20,英・数・国,受のみ　※ ニューヨーク会場の面は11/10にオンラインにて,若干名,https://www.jolnet.com/transfer/8634/,2024年11月実施　中学転・編入試験要項　昌平中学校,埼玉県北葛飾郡,0480-34-3381,ホームページ・詳細はこちら,,
名古屋国際高等学校,"1,2年",～9/30,10/5,,10/25,英・数・国　※ オンライン実施,受・保,各学年5名,https://www.jolnet.com/transfer/8630/,2024年10月実施　高校転・編入試験要項　名古屋国際高等学校,愛知県名古屋市,052-853-5151,ホームページ・詳細はこちら,,
聖心女子学院高等科,1年,6/3～6/28,7/6,,7/6,英・数・国,受・保,若干名,https://www.jolnet.com/transfer/6838/,2024年7月実施　高校転・編入試験要項　聖心女子学院高等科,東京都港区,03-3444-7671,ホームページ・詳細はこちら,,
聖心女子学院高等科,新1年,11/18～12/9,12/20,,12/20,英・数・国,受・保,若干名,https://www.jolnet.com/transfer/9431/,2024年12月実施　高校転・編入試験要項　聖心女子学院高等科,東京都港区,03-3444-7671,ホームページ・詳細はこちら,,
明法中学校,"新2,3年",3/3～3/8　※ 要事前相談,3/18,,3/18,英・数・国,受のみ,若干名,https://www.jolnet.com/transfer/10455/,2025年03月実施　中学転・編入試験要項　明法中学校,東京都東村山市,042-393-5611,ホームページ・詳細はこちら,,
滝川高等学校,新2年,3/3～3/7,3/26,,3/26,英・数・国,受のみ,若干名,https://www.jolnet.com/transfer/10851/,2025年3月実施　高校転・編入試験要項　滝川高等学校,兵庫県神戸市,078-732-1625,ホームページ・詳細はこちら,,
大妻多摩高等学校,"新1,2年",2/13～2/26,3/8　※ OLも可,,3/8,英・数・国,受のみ,若干名,https://www.jolnet.com/transfer/10120/,2025年3月実施　高校転・編入試験要項　大妻多摩高等学校,東京都町田市,042-797-2668,ホームページ・詳細はこちら,,
オンライン,"1,2年",11/9～11/16,11/30：ヨーロッパ・アフリカ・中東・アジア・オセアニア各エリア12/1：北・中・南アメリカ各エリア,,12/11,事前に作提出,受・保,若干名,https://www.jolnet.com/transfer/8640/,2024年11月実施　高校転・編入試験要項　大妻中野高等学校　※ 海外 オンライン,東京都中野区,03-3389-7211,ホームページ・詳細はこちら,,
関西学院千里国際中等部,"1,2,3年",10/30～10/31,11/23　※ オンライン実施,,11/24,作（日 or 英）,受・保別々,若干名,https://www.jolnet.com/transfer/8445/,2024年11月実施　中学転・編入試験要項　関西学院千里国際中等部,大阪府箕面市,072-727-5050,ホームページ・詳細はこちら,,
茗溪学園中学校,"1,2年",9/19～9/26,10/10　※ OL実施,,10/16,AC入試　A方式・B方式：英・数・国MG入試　A方式：英・作　B方式：英・数・国,受のみ＋受・保,若干名,https://www.jolnet.com/transfer/8346/,2024年10月実施　中学転・編入試験要項　茗溪学園中学校,茨城県つくば市,029-851-6611,ホームページ・詳細はこちら,,
海陽中等教育学校,新1～4年,9/30～10/9,10/12　※ バンコク・シンガポール・上海会場,,10/14,英・数・国,受のみ＋受・保,若干名,https://www.jolnet.com/transfer/8350/,2024年10月実施　中学転・編入試験要項　海陽中等教育学校,愛知県蒲郡市,0533-58-2407,ホームページ・詳細はこちら,,
青稜高等学校,"1,2年",6/20～6/22,6/29,,7/1,英・数・国,受のみ,若干名,https://www.jolnet.com/transfer/7047/,2024年6月実施　高校転・編入試験要項　青稜高等学校,東京都世田谷区,03-3303-2115,ホームページ・詳細はこちら,,
ドルトン東京学園高等部,"1,2年",6/24～7/8,7/22,,試験後3日以内,英・数・国,受・保,若干名,https://www.jolnet.com/transfer/7197/,2024年7月実施　高校転・編入試験要項　ドルトン東京学園高等部,東京都調布市,03-5787-7945,ホームページ・詳細はこちら,,
青稜中学校,"新2,3年",2/20～2/22,3/1,,3/3,英・数・国,受のみ,若干名,https://www.jolnet.com/transfer/10210/,2025年3月実施　中学転・編入試験要項　青稜中学校,東京都品川区,03-3782-1502,ホームページ・詳細はこちら,,
英数学館中学校,"1,2,3年",6/24～6/27,7/8,,7/12,英・数・国※ イマージョンAの英・数は英語で出題,受・保※ イマージョンAの面は日・英,若干名,https://www.jolnet.com/transfer/7449/,2024年7月実施　中学転・編入試験要項　英数学館中学校,広島県福山市,084-941-4115,ホームページ・詳細はこちら,,
自由の森学園中学校,新3年,～3/6,3/13,,3/13,英・数・国,受のみ,若干名,https://www.jolnet.com/transfer/10847/,2025年3月実施　中学転・編入試験要項　自由の森学園中学校,埼玉県飯能市,042-972-3131,ホームページ・詳細はこちら,,
広尾学園小石川中学校,"1,2,3年",7/8～7/16,7/22,,7/23,英・数・国　※ 英・数は英語表記,受のみ（日・英）,若干名,https://www.jolnet.com/transfer/7343/,2024年7月実施　中学転・編入試験要項　広尾学園小石川中学校,東京都文京区,03-5940-4455,ホームページ・詳細はこちら,,
東京学芸大学附属国際中等教育学校,1～5年,5/15～5/22,7/2,,7/3,作（外国語・日）,受のみグループ,若干名,https://www.jolnet.com/transfer/7053/,2024年7月実施　中学転・編入試験要項　東京学芸大学附属国際中等教育学校,東京都練馬区,03-5905-1326,ホームページ・詳細はこちら,,
不二聖心女子学院高等学校,新1年,1/15～1/30　※ 要受験相談,2/4,,2/5,英・数 or 英・国,受のみ＋受・保,5名,https://www.jolnet.com/transfer/9905/,2025年2月実施　高校転・編入試験要項　不二聖心女子学院高等学校,静岡県裾野市,055-992-0213,ホームページ・詳細はこちら,,
